id,origin_base,origin_location,origin_code,departure_date,departure_time,destination_base,destination_location,destination_code,status,base_price
38,London,Stansted,STN,20/11/2024,10:30,Italy,Venice,VCE,ONTIME,180
39,London,Stansted,STN,20/11/2024,13:30,Italy,Venice,VCE,ONTIME,180
40,Italy,Venice,VCE,20/11/2024,10:30,London,Stansted,STN,ONTIME,180
41,London,Stansted,STN,20/11/2024,06:00,Italy,Florence,FLR,ONTIME,170
42,London,Stansted,STN,20/11/2024,09:00,Italy,Florence,FLR,ONTIME,170
43,London,Stansted,STN,20/11/2024,10:30,Italy,Florence,FLR,ONTIME,170
44,Italy,Florence,FLR,20/11/2024,18:00,London,Stansted,STN,DELAYED,170
45,Italy,Naples,NAP,20/11/2024,15:00,London,Stansted,STN,ONTIME,190
46,Italy,Naples,NAP,20/11/2024,16:30,London,Stansted,STN,ONTIME,190
47,Italy,Naples,NAP,20/11/2024,19:30,London,Stansted,STN,DELAYED,190
48,Italy,Rome,FCO,20/11/2024,06:00,London,Luton,LTN,ONTIME,175
49,Italy,Rome,FCO,20/11/2024,18:00,London,Luton,LTN,ONTIME,175
50,Italy,Rome,FCO,20/11/2024,19:30,London,Luton,LTN,ONTIME,175
51,Italy,Milan,MXP,20/11/2024,10:30,London,Luton,LTN,ONTIME,170
52,Italy,Milan,MXP,20/11/2024,13:30,London,Luton,LTN,DELAYED,170
53,London,Luton,LTN,20/11/2024,13:30,Italy,Venice,VCE,ONTIME,175
54,Italy,Venice,VCE,20/11/2024,07:30,London,Luton,LTN,DELAYED,175
55,London,Luton,LTN,20/11/2024,09:00,Italy,Florence,FLR,DELAYED,165
56,London,Luton,LTN,20/11/2024,13:30,Italy,Florence,FLR,ONTIME,165
57,Italy,Florence,FLR,20/11/2024,12:00,London,Luton,LTN,ONTIME,165
58,Italy,Florence,FLR,20/11/2024,16:30,London,Luton,LTN,ONTIME,165
59,Italy,Florence,FLR,20/11/2024,21:00,London,Luton,LTN,ONTIME,165
60,London,Luton,LTN,20/11/2024,18:00,Italy,Naples,NAP,ONTIME,185
61,Italy,Naples,NAP,20/11/2024,13:30,London,Luton,LTN,ONTIME,185
62,Italy,Naples,NAP,20/11/2024,21:00,London,Luton,LTN,ONTIME,185
63,London,London City,LCY,20/11/2024,07:30,Italy,Rome,FCO,ONTIME,250
64,London,London City,LCY,20/11/2024,19:30,Italy,Rome,FCO,ONTIME,250
65,London,London City,LCY,20/11/2024,21:00,Italy,Rome,FCO,ONTIME,250
66,Italy,Rome,FCO,20/11/2024,15:00,London,London City,LCY,ONTIME,250
67,London,London City,LCY,20/11/2024,09:00,Italy,Milan,MXP,DELAYED,240
68,London,London City,LCY,20/11/2024,19:30,Italy,Milan,MXP,DELAYED,240
69,Italy,Milan,MXP,20/11/2024,13:30,London,London City,LCY,DELAYED,240
70,Italy,Milan,MXP,20/11/2024,16:30,London,London City,LCY,ONTIME,240
71,Italy,Venice,VCE,20/11/2024,15:00,London,London City,LCY,ONTIME,245
72,London,London City,LCY,20/11/2024,09:00,Italy,Florence,FLR,ONTIME,235
73,London,London City,LCY,20/11/2024,19:30,Italy,Florence,FLR,ONTIME,235
74,London,London City,LCY,20/11/2024,21:00,Italy,Florence,FLR,ONTIME,235
75,Italy,Florence,FLR,20/11/2024,09:00,London,London City,LCY,DELAYED,235
76,London,London City,LCY,20/11/2024,13:30,Italy,Naples,NAP,ONTIME,260
77,Italy,Naples,NAP,20/11/2024,09:00,London,London City,LCY,ONTIME,260
78,London,Heathrow,LHR,21/11/2024,07:30,Italy,Milan,MXP,ONTIME,200
79,London,Heathrow,LHR,21/11/2024,10:30,Italy,Milan,MXP,ONTIME,200
80,Italy,Milan,MXP,21/11/2024,15:00,London,Heathrow,LHR,ONTIME,200
81,Italy,Milan,MXP,21/11/2024,21:00,London,Heathrow,LHR,DELAYED,200
82,London,Heathrow,LHR,21/11/2024,09:00,Italy,Venice,VCE,ONTIME,210
83,London,Heathrow,LHR,21/11/2024,10:30,Italy,Venice,VCE,ONTIME,210
84,Italy,Venice,VCE,21/11/2024,10:30,London,Heathrow,LHR,ONTIME,210
85,London,Heathrow,LHR,21/11/2024,07:30,Italy,Florence,FLR,ONTIME,205
86,Italy,Florence,FLR,21/11/2024,06:00,London,Heathrow,LHR,ONTIME,205
87,Italy,Florence,FLR,21/11/2024,16:30,London,Heathrow,LHR,DELAYED,205
88,London,Heathrow,LHR,21/11/2024,12:00,Italy,Naples,NAP,DELAYED,230
89,London,Heathrow,LHR,21/11/2024,16:30,Italy,Naples,NAP,ONTIME,230
90,London,Heathrow,LHR,21/11/2024,18:00,Italy,Naples,NAP,ONTIME,230
91,Italy,Naples,NAP,21/11/2024,13:30,London,Heathrow,LHR,ONTIME,230
92,Italy,Rome,FCO,21/11/2024,10:30,London,Gatwick,LGW,ONTIME,200
93,Italy,Rome,FCO,21/11/2024,16:30,London,Gatwick,LGW,ONTIME,200
94,London,Gatwick,LGW,21/11/2024,09:00,Italy,Milan,MXP,ONTIME,190
95,London,Gatwick,LGW,21/11/2024,10:30,Italy,Milan,MXP,ONTIME,190
96,London,Gatwick,LGW,21/11/2024,19:30,Italy,Milan,MXP,ONTIME,190
97,Italy,Milan,MXP,21/11/2024,16:30,London,Gatwick,LGW,ONTIME,190
98,London,Gatwick,LGW,21/11/2024,09:00,Italy,Venice,VCE,DELAYED,195
99,London,Gatwick,LGW,21/11/2024,15:00,Italy,Venice,VCE,ONTIME,195
100,Italy,Venice,VCE,21/11/2024,19:30,London,Gatwick,LGW,DELAYED,195
101,London,Gatwick,LGW,21/11/2024,21:00,Italy,Florence,FLR,DELAYED,185
102,Italy,Florence,FLR,21/11/2024,07:30,London,Gatwick,LGW,ONTIME,185
103,Italy,Florence,FLR,21/11/2024,09:00,London,Gatwick,LGW,ONTIME,185
104,Italy,Florence,FLR,21/11/2024,18:00,London,Gatwick,LGW,ONTIME,185
105,Italy,Naples,NAP,21/11/2024,06:00,London,Gatwick,LGW,DELAYED,210
106,London,Stansted,STN,21/11/2024,06:00,Italy,Rome,FCO,ONTIME,180
107,Italy,Rome,FCO,21/11/2024,16:30,London,Stansted,STN,DELAYED,180
108,Italy,Milan,MXP,21/11/2024,06:00,London,Stansted,STN,ONTIME,175
109,Italy,Milan,MXP,21/11/2024,19:30,London,Stansted,STN,ONTIME,175
110,London,Stansted,STN,21/11/2024,16:30,Italy,Venice,VCE,DELAYED,180
111,London,Stansted,STN,21/11/2024,19:30,Italy,Venice,VCE,ONTIME,180
112,Italy,Venice,VCE,21/11/2024,13:30,London,Stansted,STN,ONTIME,180
113,London,Stansted,STN,21/11/2024,15:00,Italy,Florence,FLR,ONTIME,170
114,London,Stansted,STN,21/11/2024,19:30,Italy,Florence,FLR,DELAYED,170
115,Italy,Florence,FLR,21/11/2024,12:00,London,Stansted,STN,ONTIME,170
116,Italy,Florence,FLR,21/11/2024,21:00,London,Stansted,STN,ONTIME,170
117,London,Stansted,STN,21/11/2024,12:00,Italy,Naples,NAP,ONTIME,190
118,London,Stansted,STN,21/11/2024,16:30,Italy,Naples,NAP,ONTIME,190
119,Italy,Naples,NAP,21/11/2024,13:30,London,Stansted,STN,ONTIME,190
120,Italy,Naples,NAP,21/11/2024,16:30,London,Stansted,STN,DELAYED,190
121,London,Luton,LTN,21/11/2024,07:30,Italy,Rome,FCO,ONTIME,175
122,London,Luton,LTN,21/11/2024,09:00,Italy,Rome,FCO,DELAYED,175
123,London,Luton,LTN,21/11/2024,10:30,Italy,Rome,FCO,ONTIME,175
124,London,Luton,LTN,21/11/2024,06:00,Italy,Venice,VCE,ONTIME,175
125,Italy,Venice,VCE,21/11/2024,07:30,London,Luton,LTN,ONTIME,175
126,Italy,Venice,VCE,21/11/2024,15:00,London,Luton,LTN,ONTIME,175
127,London,Luton,LTN,21/11/2024,09:00,Italy,Florence,FLR,ONTIME,165
128,London,Luton,LTN,21/11/2024,16:30,Italy,Florence,FLR,ONTIME,165
129,Italy,Florence,FLR,21/11/2024,13:30,London,Luton,LTN,ONTIME,165
130,Italy,Naples,NAP,21/11/2024,07:30,London,Luton,LTN,ONTIME,185
131,Italy,Naples,NAP,21/11/2024,15:00,London,Luton,LTN,ONTIME,185
132,Italy,Naples,NAP,21/11/2024,16:30,London,Luton,LTN,ONTIME,185
133,London,London City,LCY,21/11/2024,15:00,Italy,Rome,FCO,ONTIME,250
134,London,London City,LCY,21/11/2024,16:30,Italy,Rome,FCO,DELAYED,250
135,London,London City,LCY,21/11/2024,19:30,Italy,Rome,FCO,ONTIME,250
136,Italy,Rome,FCO,21/11/2024,07:30,London,London City,LCY,ONTIME,250
137,Italy,Milan,MXP,21/11/2024,10:30,London,London City,LCY,ONTIME,240
138,Italy,Milan,MXP,21/11/2024,13:30,London,London City,LCY,DELAYED,240
139,Italy,Milan,MXP,21/11/2024,15:00,London,London City,LCY,ONTIME,240
140,London,London City,LCY,21/11/2024,18:00,Italy,Venice,VCE,ONTIME,245
141,London,London City,LCY,21/11/2024,10:30,Italy,Florence,FLR,ONTIME,235
142,London,London City,LCY,21/11/2024,16:30,Italy,Florence,FLR,ONTIME,235
143,Italy,Florence,FLR,21/11/2024,06:00,London,London City,LCY,ONTIME,235
144,Italy,Florence,FLR,21/11/2024,07:30,London,London City,LCY,DELAYED,235
145,Italy,Florence,FLR,21/11/2024,19:30,London,London City,LCY,ONTIME,235
146,London,London City,LCY,21/11/2024,10:30,Italy,Naples,NAP,ONTIME,260
147,London,London City,LCY,21/11/2024,15:00,Italy,Naples,NAP,ONTIME,260
148,Italy,Naples,NAP,21/11/2024,16:30,London,London City,LCY,ONTIME,260
149,Italy,Naples,NAP,21/11/2024,21:00,London,London City,LCY,ONTIME,260
150,London,Heathrow,LHR,22/11/2024,10:30,Italy,Rome,FCO,DELAYED,220
151,London,Heathrow,LHR,22/11/2024,13:30,Italy,Rome,FCO,ONTIME,220
152,London,Heathrow,LHR,22/11/2024,21:00,Italy,Rome,FCO,ONTIME,220
153,Italy,Rome,FCO,22/11/2024,06:00,London,Heathrow,LHR,ONTIME,220
154,Italy,Rome,FCO,22/11/2024,09:00,London,Heathrow,LHR,ONTIME,220
155,Italy,Rome,FCO,22/11/2024,10:30,London,Heathrow,LHR,DELAYED,220
156,London,Heathrow,LHR,22/11/2024,07:30,Italy,Venice,VCE,DELAYED,210
157,London,Heathrow,LHR,22/11/2024,19:30,Italy,Venice,VCE,DELAYED,210
158,London,Heathrow,LHR,22/11/2024,21:00,Italy,Venice,VCE,ONTIME,210
159,Italy,Venice,VCE,22/11/2024,12:00,London,Heathrow,LHR,ONTIME,210
160,Italy,Venice,VCE,22/11/2024,19:30,London,Heathrow,LHR,ONTIME,210
161,London,Heathrow,LHR,22/11/2024,10:30,Italy,Florence,FLR,ONTIME,205
162,London,Heathrow,LHR,22/11/2024,13:30,Italy,Florence,FLR,ONTIME,205
163,London,Heathrow,LHR,22/11/2024,16:30,Italy,Florence,FLR,ONTIME,205
164,Italy,Florence,FLR,22/11/2024,10:30,London,Heathrow,LHR,ONTIME,205
165,Italy,Florence,FLR,22/11/2024,12:00,London,Heathrow,LHR,ONTIME,205
166,Italy,Naples,NAP,22/11/2024,09:00,London,Heathrow,LHR,ONTIME,230
167,Italy,Naples,NAP,22/11/2024,13:30,London,Heathrow,LHR,ONTIME,230
168,Italy,Naples,NAP,22/11/2024,16:30,London,Heathrow,LHR,ONTIME,230
169,London,Gatwick,LGW,22/11/2024,10:30,Italy,Rome,FCO,ONTIME,200
170,London,Gatwick,LGW,22/11/2024,19:30,Italy,Rome,FCO,ONTIME,200
171,London,Gatwick,LGW,22/11/2024,06:00,Italy,Milan,MXP,DELAYED,190
172,London,Gatwick,LGW,22/11/2024,07:30,Italy,Milan,MXP,ONTIME,190
173,Italy,Milan,MXP,22/11/2024,13:30,London,Gatwick,LGW,ONTIME,190
174,Italy,Milan,MXP,22/11/2024,19:30,London,Gatwick,LGW,DELAYED,190
175,London,Gatwick,LGW,22/11/2024,07:30,Italy,Venice,VCE,ONTIME,195
176,London,Gatwick,LGW,22/11/2024,07:30,Italy,Florence,FLR,DELAYED,185
177,London,Gatwick,LGW,22/11/2024,13:30,Italy,Florence,FLR,ONTIME,185
178,London,Gatwick,LGW,22/11/2024,16:30,Italy,Florence,FLR,ONTIME,185
179,London,Stansted,STN,22/11/2024,10:30,Italy,Rome,FCO,ONTIME,180
180,Italy,Rome,FCO,22/11/2024,10:30,London,Stansted,STN,ONTIME,180
181,Italy,Rome,FCO,22/11/2024,13:30,London,Stansted,STN,DELAYED,180
182,Italy,Rome,FCO,22/11/2024,15:00,London,Stansted,STN,ONTIME,180
183,London,Stansted,STN,22/11/2024,13:30,Italy,Milan,MXP,DELAYED,175
184,London,Stansted,STN,22/11/2024,19:30,Italy,Milan,MXP,ONTIME,175
185,London,Stansted,STN,22/11/2024,21:00,Italy,Milan,MXP,DELAYED,175
186,Italy,Milan,MXP,22/11/2024,06:00,London,Stansted,STN,ONTIME,175
187,Italy,Milan,MXP,22/11/2024,21:00,London,Stansted,STN,ONTIME,175
188,London,Stansted,STN,22/11/2024,16:30,Italy,Venice,VCE,ONTIME,180
189,London,Stansted,STN,22/11/2024,18:00,Italy,Venice,VCE,ONTIME,180
190,Italy,Venice,VCE,22/11/2024,10:30,London,Stansted,STN,ONTIME,180
191,Italy,Florence,FLR,22/11/2024,09:00,London,Stansted,STN,ONTIME,170
192,Italy,Florence,FLR,22/11/2024,12:00,London,Stansted,STN,ONTIME,170
193,Italy,Florence,FLR,22/11/2024,16:30,London,Stansted,STN,ONTIME,170
194,London,Stansted,STN,22/11/2024,12:00,Italy,Naples,NAP,ONTIME,190
195,Italy,Naples,NAP,22/11/2024,07:30,London,Stansted,STN,ONTIME,190
196,Italy,Naples,NAP,22/11/2024,09:00,London,Stansted,STN,ONTIME,190
197,Italy,Naples,NAP,22/11/2024,21:00,London,Stansted,STN,ONTIME,190
198,London,Luton,LTN,22/11/2024,06:00,Italy,Rome,FCO,DELAYED,175
199,London,Luton,LTN,22/11/2024,09:00,Italy,Rome,FCO,ONTIME,175
200,London,Luton,LTN,22/11/2024,19:30,Italy,Rome,FCO,ONTIME,175
201,Italy,Rome,FCO,22/11/2024,16:30,London,Luton,LTN,ONTIME,175
202,Italy,Milan,MXP,22/11/2024,15:00,London,Luton,LTN,ONTIME,170
203,Italy,Milan,MXP,22/11/2024,16:30,London,Luton,LTN,ONTIME,170
204,Italy,Milan,MXP,22/11/2024,18:00,London,Luton,LTN,ONTIME,170
205,Italy,Venice,VCE,22/11/2024,18:00,London,Luton,LTN,DELAYED,175
206,Italy,Venice,VCE,22/11/2024,21:00,London,Luton,LTN,ONTIME,175
207,London,Luton,LTN,22/11/2024,06:00,Italy,Florence,FLR,ONTIME,165
208,London,Luton,LTN,22/11/2024,15:00,Italy,Florence,FLR,ONTIME,165
209,London,Luton,LTN,22/11/2024,21:00,Italy,Florence,FLR,ONTIME,165
210,London,Luton,LTN,22/11/2024,10:30,Italy,Naples,NAP,DELAYED,185
211,London,Luton,LTN,22/11/2024,13:30,Italy,Naples,NAP,DELAYED,185
212,London,Luton,LTN,22/11/2024,16:30,Italy,Naples,NAP,ONTIME,185
213,Italy,Naples,NAP,22/11/2024,16:30,London,Luton,LTN,ONTIME,185
214,London,London City,LCY,22/11/2024,10:30,Italy,Rome,FCO,ONTIME,250
215,Italy,Rome,FCO,22/11/2024,09:00,London,London City,LCY,DELAYED,250
216,London,London City,LCY,22/11/2024,12:00,Italy,Milan,MXP,ONTIME,240
217,London,London City,LCY,22/11/2024,15:00,Italy,Milan,MXP,ONTIME,240
218,London,London City,LCY,22/11/2024,18:00,Italy,Milan,MXP,DELAYED,240
219,Italy,Milan,MXP,22/11/2024,12:00,London,London City,LCY,ONTIME,240
220,London,London City,LCY,22/11/2024,19:30,Italy,Venice,VCE,ONTIME,245
221,Italy,Venice,VCE,22/11/2024,06:00,London,London City,LCY,ONTIME,245
222,London,London City,LCY,22/11/2024,10:30,Italy,Florence,FLR,ONTIME,235
223,Italy,Florence,FLR,22/11/2024,07:30,London,London City,LCY,ONTIME,235
224,Italy,Florence,FLR,22/11/2024,10:30,London,London City,LCY,DELAYED,235
225,London,London City,LCY,22/11/2024,16:30,Italy,Naples,NAP,ONTIME,260
226,London,Heathrow,LHR,23/11/2024,10:30,Italy,Rome,FCO,DELAYED,220
227,London,Heathrow,LHR,23/11/2024,15:00,Italy,Rome,FCO,ONTIME,220
228,Italy,Rome,FCO,23/11/2024,13:30,London,Heathrow,LHR,ONTIME,220
229,Italy,Rome,FCO,23/11/2024,18:00,London,Heathrow,LHR,ONTIME,220
230,London,Heathrow,LHR,23/11/2024,15:00,Italy,Milan,MXP,ONTIME,200
231,London,Heathrow,LHR,23/11/2024,16:30,Italy,Milan,MXP,ONTIME,200
232,London,Heathrow,LHR,23/11/2024,10:30,Italy,Venice,VCE,ONTIME,210
233,London,Heathrow,LHR,23/11/2024,15:00,Italy,Venice,VCE,ONTIME,210
234,Italy,Florence,FLR,23/11/2024,07:30,London,Heathrow,LHR,ONTIME,205
235,London,Heathrow,LHR,23/11/2024,09:00,Italy,Naples,NAP,ONTIME,230
236,Italy,Naples,NAP,23/11/2024,06:00,London,Heathrow,LHR,ONTIME,230
237,Italy,Naples,NAP,23/11/2024,10:30,London,Heathrow,LHR,ONTIME,230
238,London,Gatwick,LGW,23/11/2024,10:30,Italy,Rome,FCO,ONTIME,200
239,London,Gatwick,LGW,23/11/2024,15:00,Italy,Rome,FCO,ONTIME,200
240,London,Gatwick,LGW,23/11/2024,21:00,Italy,Rome,FCO,DELAYED,200
241,Italy,Rome,FCO,23/11/2024,10:30,London,Gatwick,LGW,ONTIME,200
242,Italy,Rome,FCO,23/11/2024,16:30,London,Gatwick,LGW,ONTIME,200
243,Italy,Milan,MXP,23/11/2024,07:30,London,Gatwick,LGW,ONTIME,190
244,Italy,Milan,MXP,23/11/2024,13:30,London,Gatwick,LGW,ONTIME,190
245,Italy,Venice,VCE,23/11/2024,19:30,London,Gatwick,LGW,ONTIME,195
246,Italy,Florence,FLR,23/11/2024,10:30,London,Gatwick,LGW,DELAYED,185
247,Italy,Florence,FLR,23/11/2024,18:00,London,Gatwick,LGW,ONTIME,185
248,Italy,Florence,FLR,23/11/2024,21:00,London,Gatwick,LGW,ONTIME,185
249,Italy,Naples,NAP,23/11/2024,09:00,London,Gatwick,LGW,ONTIME,210
250,Italy,Naples,NAP,23/11/2024,21:00,London,Gatwick,LGW,ONTIME,210
251,London,Stansted,STN,23/11/2024,07:30,Italy,Rome,FCO,DELAYED,180
252,Italy,Rome,FCO,23/11/2024,09:00,London,Stansted,STN,ONTIME,180
253,London,Stansted,STN,23/11/2024,07:30,Italy,Milan,MXP,ONTIME,175
254,London,Stansted,STN,23/11/2024,10:30,Italy,Milan,MXP,ONTIME,175
255,Italy,Milan,MXP,23/11/2024,07:30,London,Stansted,STN,ONTIME,175
256,Italy,Milan,MXP,23/11/2024,12:00,London,Stansted,STN,ONTIME,175
257,Italy,Milan,MXP,23/11/2024,19:30,London,Stansted,STN,ONTIME,175
258,London,Stansted,STN,23/11/2024,12:00,Italy,Florence,FLR,ONTIME,170
259,London,Stansted,STN,23/11/2024,13:30,Italy,Florence,FLR,DELAYED,170
260,Italy,Florence,FLR,23/11/2024,06:00,London,Stansted,STN,ONTIME,170
261,Italy,Florence,FLR,23/11/2024,09:00,London,Stansted,STN,ONTIME,170
262,London,Stansted,STN,23/11/2024,07:30,Italy,Naples,NAP,ONTIME,190
263,London,Stansted,STN,23/11/2024,16:30,Italy,Naples,NAP,ONTIME,190
264,Italy,Naples,NAP,23/11/2024,21:00,London,Stansted,STN,ONTIME,190
265,London,Luton,LTN,23/11/2024,15:00,Italy,Milan,MXP,ONTIME,170
266,London,Luton,LTN,23/11/2024,19:30,Italy,Milan,MXP,ONTIME,170
267,London,Luton,LTN,23/11/2024,21:00,Italy,Milan,MXP,DELAYED,170
268,Italy,Milan,MXP,23/11/2024,10:30,London,Luton,LTN,ONTIME,170
269,Italy,Milan,MXP,23/11/2024,12:00,London,Luton,LTN,ONTIME,170
270,London,Luton,LTN,23/11/2024,09:00,Italy,Venice,VCE,ONTIME,175
271,London,Luton,LTN,23/11/2024,12:00,Italy,Venice,VCE,DELAYED,175
272,London,Luton,LTN,23/11/2024,13:30,Italy,Venice,VCE,ONTIME,175
273,Italy,Venice,VCE,23/11/2024,06:00,London,Luton,LTN,ONTIME,175
274,Italy,Venice,VCE,23/11/2024,15:00,London,Luton,LTN,ONTIME,175
275,Italy,Venice,VCE,23/11/2024,21:00,London,Luton,LTN,DELAYED,175
276,London,Luton,LTN,23/11/2024,10:30,Italy,Florence,FLR,ONTIME,165
277,London,Luton,LTN,23/11/2024,13:30,Italy,Florence,FLR,ONTIME,165
278,Italy,Florence,FLR,23/11/2024,13:30,London,Luton,LTN,DELAYED,165
279,London,Luton,LTN,23/11/2024,09:00,Italy,Naples,NAP,DELAYED,185
280,London,Luton,LTN,23/11/2024,12:00,Italy,Naples,NAP,DELAYED,185
281,London,Luton,LTN,23/11/2024,19:30,Italy,Naples,NAP,DELAYED,185
282,Italy,Naples,NAP,23/11/2024,09:00,London,Luton,LTN,ONTIME,185
283,Italy,Naples,NAP,23/11/2024,12:00,London,Luton,LTN,ONTIME,185
284,London,London City,LCY,23/11/2024,15:00,Italy,Rome,FCO,ONTIME,250
285,Italy,Rome,FCO,23/11/2024,10:30,London,London City,LCY,ONTIME,250
286,Italy,Rome,FCO,23/11/2024,12:00,London,London City,LCY,DELAYED,250
287,Italy,Rome,FCO,23/11/2024,13:30,London,London City,LCY,ONTIME,250
288,London,London City,LCY,23/11/2024,07:30,Italy,Milan,MXP,ONTIME,240
289,London,London City,LCY,23/11/2024,10:30,Italy,Milan,MXP,ONTIME,240
290,London,London City,LCY,23/11/2024,21:00,Italy,Milan,MXP,ONTIME,240
291,Italy,Milan,MXP,23/11/2024,09:00,London,London City,LCY,ONTIME,240
292,Italy,Milan,MXP,23/11/2024,12:00,London,London City,LCY,ONTIME,240
293,Italy,Milan,MXP,23/11/2024,19:30,London,London City,LCY,ONTIME,240
294,Italy,Venice,VCE,23/11/2024,09:00,London,London City,LCY,DELAYED,245
295,Italy,Venice,VCE,23/11/2024,13:30,London,London City,LCY,ONTIME,245
296,Italy,Venice,VCE,23/11/2024,16:30,London,London City,LCY,DELAYED,245
297,London,London City,LCY,23/11/2024,12:00,Italy,Florence,FLR,ONTIME,235
298,London,London City,LCY,23/11/2024,15:00,Italy,Florence,FLR,ONTIME,235
299,Italy,Florence,FLR,23/11/2024,09:00,London,London City,LCY,ONTIME,235
300,Italy,Florence,FLR,23/11/2024,15:00,London,London City,LCY,ONTIME,235
301,Italy,Florence,FLR,23/11/2024,16:30,London,London City,LCY,ONTIME,235
302,London,London City,LCY,23/11/2024,07:30,Italy,Naples,NAP,DELAYED,260
303,London,London City,LCY,23/11/2024,10:30,Italy,Naples,NAP,DELAYED,260
304,London,London City,LCY,23/11/2024,16:30,Italy,Naples,NAP,DELAYED,260
305,Italy,Naples,NAP,23/11/2024,10:30,London,London City,LCY,ONTIME,260
306,London,Heathrow,LHR,24/11/2024,10:30,Italy,Rome,FCO,DELAYED,220
307,London,Heathrow,LHR,24/11/2024,21:00,Italy,Rome,FCO,ONTIME,220
308,Italy,Rome,FCO,24/11/2024,12:00,London,Heathrow,LHR,ONTIME,220
309,Italy,Rome,FCO,24/11/2024,15:00,London,Heathrow,LHR,ONTIME,220
310,Italy,Rome,FCO,24/11/2024,16:30,London,Heathrow,LHR,ONTIME,220
311,London,Heathrow,LHR,24/11/2024,09:00,Italy,Milan,MXP,ONTIME,200
312,Italy,Milan,MXP,24/11/2024,10:30,London,Heathrow,LHR,DELAYED,200
313,Italy,Milan,MXP,24/11/2024,12:00,London,Heathrow,LHR,ONTIME,200
314,Italy,Milan,MXP,24/11/2024,21:00,London,Heathrow,LHR,ONTIME,200
315,London,Heathrow,LHR,24/11/2024,10:30,Italy,Venice,VCE,ONTIME,210
316,London,Heathrow,LHR,24/11/2024,13:30,Italy,Venice,VCE,ONTIME,210
317,Italy,Venice,VCE,24/11/2024,06:00,London,Heathrow,LHR,ONTIME,210
318,Italy,Venice,VCE,24/11/2024,09:00,London,Heathrow,LHR,ONTIME,210
